tatripid,log_time,stop_name,stop_id,route_id,direction,scheduled_start_date,scheduled_start_time,actual_arrival_time,scheduled_arrival_time
10747,2023-12-11T19:33,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,19:19,19:45,19:38
5960,2023-12-11T19:47,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,19:36,19:52,19:50
6582,2023-12-11T19:53,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,19:38,19:57,19:54
9486,2023-12-11T20:01,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,19:50,20:06,20:02
9161,2023-12-11T20:11,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,69,OUTBOUND,2023-12-11,20:00,20:13,20:14
10748,2023-12-11T20:12,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,19:46,20:14,20:05
9160,2023-12-11T20:15,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-11,19:55,20:16,20:09
5961,2023-12-11T20:16,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,20:04,20:17,20:18
9281,2023-12-11T20:22,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-11,19:45,20:25,20:23
6584,2023-12-11T20:26,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,20:01,20:27,20:16
6585,2023-12-11T20:26,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,20:08,20:28,20:24
9489,2023-12-11T20:32,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,20:20,20:33,20:30
6586,2023-12-11T20:41,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,20:26,20:43,20:41
10749,2023-12-11T20:47,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,20:16,20:49,20:35
6588,2023-12-11T20:53,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,20:38,20:54,20:53
6587,2023-12-11T20:53,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,20:33,20:54,20:48
9492,2023-12-11T21:02,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,20:50,21:02,21:00
9163,2023-12-11T21:05,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-11,20:50,21:07,21:03
9162,2023-12-11T21:08,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,69,OUTBOUND,2023-12-11,20:50,21:10,21:04
6589,2023-12-11T21:14,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,20:56,21:14,21:11
9282,2023-12-11T21:17,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-11,20:45,21:18,21:22
5963,2023-12-11T21:17,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,21:06,21:18,21:18
10750,2023-12-11T21:17,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,20:46,21:19,21:03
6591,2023-12-11T21:26,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,21:08,21:27,21:22
6590,2023-12-11T21:26,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,21:02,21:27,21:17
9165,2023-12-11T21:49,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-11,21:45,22:01,21:58
9164,2023-12-11T21:59,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,69,OUTBOUND,2023-12-11,21:40,21:59,21:52
6593,2023-12-11T21:59,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,21:33,22:03,21:48
6594,2023-12-11T21:58,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,21:38,22:03,21:53
9498,2023-12-11T21:59,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,21:50,22:04,22:00
6596,2023-12-11T21:59,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,22:03,22:18,22:17
9283,2023-12-11T21:59,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-11,21:45,22:22,22:20
5965,2023-12-11T21:59,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,22:06,22:25,22:16
1866,2023-12-14T17:08,'FIFTH AVE + OAKLAND AVE',2565,54,INBOUND,2023-12-14,16:37,17:08,17:00
2111,2023-12-14T17:08,'FIFTH  AVE + ATWOOD ST',36,54,OUTBOUND,2023-12-14,16:14,17:08,17:05
9150,2023-12-14T17:08,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-14,16:05,17:08,16:21
8873,2023-12-14T17:08,'FIFTH  AVE + ATWOOD ST',36,75,INBOUND,2023-12-14,16:15,17:09,17:03
9458,2023-12-14T17:07,'FIFTH  AVE + ATWOOD ST',36,71C,OUTBOUND,2023-12-14,16:57,17:10,12:47
5952,2023-12-14T17:09,'FIFTH  AVE + ATWOOD ST',36,61D,OUTBOUND,2023-12-14,17:08,17:10,23:09
6042,2023-12-14T17:09,'FORBES AVE + MOREWOOD AVE FS (CARNEGIE MELLON)',4407,61B,INBOUND,2023-12-14,16:36,17:10,17:08
7451,2023-12-14T17:10,'FORBES + MURRAY FS',7096,61C,INBOUND,2023-12-14,16:22,17:11,17:01
6545,2023-12-14T17:11,'FORBES AVE + MURRAY AVE',7126,61C,OUTBOUND,2023-12-14,16:21,17:11,16:49
5949,2023-12-14T17:10,'FORBES AVE + MURRAY AVE',7126,61D,OUTBOUND,2023-12-14,16:23,17:12,16:50
9456,2023-12-14T17:12,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-14,16:45,17:12,16:59
6041,2023-12-14T17:12,'FORBES + MURRAY FS',7096,61A,INBOUND,2023-12-14,16:35,17:12,17:12
10522,2023-12-14T17:12,'FIFTH  AVE + ATWOOD ST',36,P3,INBOUND,2023-12-14,16:42,17:13,17:05
10736,2023-12-14T17:12,'HIGHLAND AVE + PENN',3268,71B,OUTBOUND,2023-12-14,16:27,17:13,17:03
10935,2023-12-14T17:12,'FIFTH AVE + MOREWOOD AVE',1167,71D,INBOUND,2023-12-14,16:46,17:13,17:08
6544,2023-12-14T17:13,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-14,16:19,17:13,16:37
6040,2023-12-14T17:13,'FIFTH  AVE + ATWOOD ST',36,61A,INBOUND,2023-12-14,16:20,17:14,17:10
6823,2023-12-14T17:14,'FORBES + MURRAY FS',7096,61D,INBOUND,2023-12-14,16:39,17:14,17:09
9070,2023-12-14T17:16,'FIFTH AVE + MOREWOOD AVE',1167,71B,INBOUND,2023-12-14,16:42,17:16,16:59
9072,2023-12-14T17:16,'HIGHLAND AVE + BAUM',19383,71B,INBOUND,2023-12-14,16:57,17:17,17:05
9458,2023-12-14T17:18,'FIFTH AVE + OAKLAND AVE',2565,71C,OUTBOUND,2023-12-14,16:57,17:18,17:03
7451,2023-12-14T17:18,'FORBES AVE + MOREWOOD AVE FS (CARNEGIE MELLON)',4407,61C,INBOUND,2023-12-14,16:22,17:18,17:06
6041,2023-12-14T17:18,'FORBES AVE + MOREWOOD AVE FS (CARNEGIE MELLON)',4407,61A,INBOUND,2023-12-14,16:35,17:18,17:17
9278,2023-12-14T17:09,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-14,16:45,17:22,17:31
6553,2023-12-14T17:19,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-14,17:01,17:19,17:19
6823,2023-12-14T17:19,'FORBES AVE + MOREWOOD AVE FS (CARNEGIE MELLON)',4407,61D,INBOUND,2023-12-14,16:39,17:19,17:15
7452,2023-12-14T17:18,'FORBES + MURRAY FS',7096,61C,INBOUND,2023-12-14,16:37,17:20,17:16
6042,2023-12-14T17:20,'FIFTH  AVE + ATWOOD ST',36,61B,INBOUND,2023-12-14,16:36,17:20,17:17
6544,2023-12-14T17:21,'FORBES AVE + MURRAY AVE',7126,61A,OUTBOUND,2023-12-14,16:19,17:21,16:44
7585,2023-12-14T17:21,'FIFTH AVE + OAKLAND AVE',2565,93,OUTBOUND,2023-12-14,16:30,17:21,17:06
